node_id,node_attr
61,"""This program covers residents of the following cities: Dover, DE, Seaford, DE, Wilmington, DE, Allentown, PA, Berwick, PA, Bethlehem, PA, Boyertown, PA, Carlisle, PA, Chambersburg, PA, Chester, PA, Coal Township, PA, Coatesville, PA, Darby, PA, East Stroudsburg, PA, Easton, PA, Harrisburg, PA, Hazleton, PA, Lancaster, PA, Lebanon, PA, Levittown, PA, Lewistown, PA, Lock Haven, PA, Milton, PA, Norristown, PA, Pen Argyl, PA, Philadelphia, PA, Pottstown, PA, Pottsville, PA, Reading, PA, Scranton, PA, State College, PA, Sunbury, PA, Tamaqua, PA, West Chester, PA, Wilkes Barre, PA, Williamsport, PA and York, PA."""
62,"""6730 Ridge Avenue, Philadelphia, PA 19128"""
63,"""5501 Market Street, Philadelphia, PA 19139"""
64,AB-Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
65,P-Social Services Program (Salvation Army Eastern Pennsylvania and Delaware)
66,19128
67,19139
68,"""tel:+1-215-482-4120"""
69,"""tel:+1-215-474-1010"""
70,"""Salvation Army Eastern Pennsylvania & Delaware social workers provide social services to meet the needs of the community. This program provides:- Access to nutritious food- Counseling Services- Financial Education- Spiritual Support- Referrals- Help find work- Resume Building- Interview skills- Job placement- Toys & Gifts (Holiday season)- Clothing (all ages)- Men's and women's support groupsServices offered may change depending on location. Please contact the nearest office for more information."""
71,"""Thursday from 09:00 to 16:00"""
72,"""Friday from 09:00 to 16:00"""
73,"""Tuesday from 08:00 to 15:30"""
74,"""Wednesday from 09:00 to 16:00"""
75,"""Wednesday from 08:00 to 15:30"""
76,"""Friday from 08:00 to 13:30"""
77,"""Saturday from 09:00 to 16:00"""
78,"""Thursday from 08:00 to 15:30"""
79,"""Sunday from 09:00 to 16:00"""
80,"""Monday from 08:00 to 15:30"""
81,"""Monday from 09:00 to 16:00"""
82,"""Tuesday from 09:00 to 16:00"""
83,"""This program serves residents of Pennsylvania."""
84,Food Pantry (The North Light Community Center)
85,40.0286777
86,"""19127"""
87,"""https://www.facebook.com/NorthLightCommunityCenter/"""
88,"""https://www.twitter.com/@NorthLight4"""
89,"""Food Pantry (The North Light Community Center)_5763940362747904"""
90,"""Food Pantry (The North Light Community Center)"""
91,"""This program covers residents of the following cities: Philadelphia, PA."""
92,"""175 Green Lane, Philadelphia, PA 19127"""
93,AB-Food Pantry (The North Light Community Center)
94,P-Food Pantry (The North Light Community Center)
95,19127
96,"""tel:+1-215-483-4800"""
97,"""The North Light Community Center provides a food pantry for food insecure households who need access to fresh food, nonperishable food, and other grocery related items. They seek to provide nutritional foods to constituents who depend on the program to supplement and sustain their households.This program provides:- Food to meet basic nutritional needs.If you are coming for the first time, please download and fill out the application form and email it to [emailÂ protected]. North Light provides several Holiday Assistance programs in November and December, such as Thanksgiving boxes, Manayunk Meals & More, and Adopt-a-Family! For more information, check back in late."""
98,"""Monday from 10:30 to 11:30"""
99,"""Wednesday Closed"
100,"""Friday from 11:30 to 12:30"""
101,"""Tuesday Closed"
102,"""Must meet income guidelines."""
103,Food Pantry (St. Luke's Episcopal Church Germantown)
104,40.0337844
105,TemporarilyClosed
106,"""19144"""
107,"""https://www.facebook.com/St-Lukes-Church-Germantown-111657445537323/"""
108,"""None"""
109,"""Food Pantry (St. Luke's Episcopal Church Germantown)_5946530422849536"""
110,"""Food Pantry (St. Luke's Episcopal Church Germantown)"""
111,"""5421 Germantown Avenue, Philadelphia, PA 19144"""
112,AB-Food Pantry (St. Luke's Episcopal Church Germantown)
113,P-Food Pantry (St. Luke's Episcopal Church Germantown)
114,19144
115,"""tel:+1-215-844-8544"""
116,"""St. Barnabas Pantry provides bags of food to individuals and families in St. Luke's community who are in need.Services provided:- Take-away food bags"""
117,"""Wednesday from 09:00 to 15:00"""
118,"""Monday from 09:00 to 15:00"""
119,"""Thursday from 09:00 to 15:00"""
120,"""Friday from 09:00 to 15:00"""
121,"""Tuesday from 09:00 to 15:00"""
122,"""Tuesday from 09:00 to 10:30"""
123,"""Sunday from 08:00 to 14:00"""
124,"""Friday from 09:00 to 10:30"""
125,"""Monday Closed"
126,Food Cupboard (The Church of St. Andrew and St. Monica)
127,39.960617
128,"""19104"""
129,"""https://www.twitter.com/@ssAndrewMonica"""
130,"""https://www.facebook.com/ssandrewmonica/?rf=117087431642346"""
131,"""Food Cupboard (The Church of St. Andrew and St. Monica)_6520871286734848"""
132,"""Food Cupboard (The Church of St. Andrew and St. Monica)"""
133,"""This program covers residents of the following counties: Philadelphia County, PA."""
134,"""3600 Baring Street, Philadelphia, PA 19104"""
135,AB-Food Cupboard (The Church of St. Andrew and St. Monica)
136,P-Food Cupboard (The Church of St. Andrew and St. Monica)
137,19104
138,"""tel:+1-215-222-7606"""
139,"""The food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
140,"""Saturday from 09:30 to 11:00"""
141,Food Pantry (Crusaders for Christ Church)
142,39.9448797
143,"""19143"""
144,"""https://www.facebook.com/MyCFC1/"""
145,"""https://www.twitter.com/@CFC_PA1"""
146,"""Food Pantry (Crusaders for Christ Church)_5683489540931584"""
147,"""Food Pantry (Crusaders for Christ Church)"""
148,"""1201 South 47th Street, Philadelphia, PA 19143"""
149,AB-Food Pantry (Crusaders for Christ Church)
150,P-Food Pantry (Crusaders for Christ Church)
151,19143
152,"""tel:+1-215-387-3014"""
153,"""Crusaders for Christ Church provides supplemental groceries to individuals and families in need of assistance in our community. This program provides:- Food to meet basic nutritional needsPlease contact this provider to see when the pantry is available."""
154,"""Thursday from 08:00 to 17:00"""
155,"""Wednesday from 08:00 to 17:00"""
156,"""Tuesday from 08:00 to 17:00"""
157,"""Monday from 08:00 to 17:00"""
158,"""Friday from 08:00 to 17:00"""
159,Manna Pantry (Bethel Temple Community Bible Church)
160,39.9978125
161,"""19134"""
162,"""https://www.facebook.com/betheltemplecbc/"""
163,"""Manna Pantry (Bethel Temple Community Bible Church)_6321681709400064"""
164,"""Manna Pantry (Bethel Temple Community Bible Church)"""
165,"""228 East Allegheny Avenue, Philadelphia, PA 19134"""
166,AB-Manna Pantry (Bethel Temple Community Bible Church)
167,P-Manna Pantry (Bethel Temple Community Bible Church)
168,19134
169,"""tel:+1-215-423-0986"""
170,"""Manna Pantry serves the community by providing food and resources for those in need. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
171,"""Thursday from 17:00 to 18:00"""
172,Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)
173,"""https://www.twitter.com/https://twitter.com/SalArmyPhilly"""
174,"""Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)_5664666958430208"""
175,"""Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)"""
176,AB-Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)
177,P-Temple Corps Community Center Food Pantry (The Salvation Army - Greater Philadelphia)
178,"""Salvation Army Corps Community Center has a food pantry on-site to help meet emergency needs. The food pantry provides quality food items to households experiencing food insecurity. Typical items in pantries include canned goods and other non-perishable items.This program provides:- Food to meet basic nutritional needs"""
179,"""Thursday from 08:00 to 16:00"""
180,Food Pantry and Clothing Ministry Program (Lighthouse Christian Center)
181,39.9376206
182,"""19146"""
183,"""Food Pantry and Clothing Ministry Program (Lighthouse Christian Center)_4879563523883008"""
184,"""Food Pantry and Clothing Ministry Program (Lighthouse Christian Center)"""
185,"""2945 Wharton Street, Philadelphia, PA 19146"""
186,AB-Food Pantry and Clothing Ministry Program (Lighthouse Christian Center)
187,P-Food Pantry and Clothing Ministry Program (Lighthouse Christian Center)
188,19146
189,"""tel:+1-215-463-2434"""
190,"""Lighthouse Christian Center offers free food, clothing and a message from God to anyone who needs assistance.This program provides: - Food- ClothingServices are available on Tuesdays from 11 a.m. to 1 p.m."""
191,"""Tuesday from 12:00 to 13:00"""
192,Food Pantry (Grace Community Christian Center)
193,40.045458
194,"""https://www.facebook.com/pg/TheGraceBaptistChurchofGermantown/about/?ref=page_internal"""
195,"""Food Pantry (Grace Community Christian Center)_6223467727552512"""
196,"""Food Pantry (Grace Community Christian Center)"""
197,"""25 West Johnson Street, Philadelphia, PA 19144"""
198,AB-Food Pantry (Grace Community Christian Center)
199,P-Food Pantry (Grace Community Christian Center)
200,"""tel:+1-215-848-2700"""
201,"""tel:+1-215-438-3215"""
202,"""Grace Community Christian Center food pantry provides supplemental groceries to individuals and families in need of assistance in the community. This program provides:- Food to meet basic nutritional needs"""
203,"""Friday from 10:00 to 13:00"""
204,"""Monday from 10:00 to 13:00"""
205,"""Thursday from 10:00 to 13:00"""
206,"""Tuesday from 10:00 to 13:00"""
207,"""Wednesday from 10:00 to 13:00"""
208,Food Pantry (The Common Place)
209,39.9356486
210,"""https://www.facebook.com/tcpphilly/"""
211,"""Food Pantry (The Common Place)_6175811663822848"""
212,"""Food Pantry (The Common Place)"""
213,"""5736 Chester Avenue, Philadelphia, PA 19143"""
214,AB-Food Pantry (The Common Place)
215,P-Food Pantry (The Common Place)
216,"""tel:+1-267-275-8238"""
217,"""The Common Place's food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
218,"""Saturday from 10:00 to 13:00"""
219,Food Pantry (Praise the Living God Holiness Church)
220,40.0082566
221,"""19140"""
222,"""Food Pantry (Praise the Living God Holiness Church)_5654950242418688"""
223,"""Food Pantry (Praise the Living God Holiness Church)"""
224,"""3610 North 15th Street, Philadelphia, PA 19140"""
225,AB-Food Pantry (Praise the Living God Holiness Church)
226,P-Food Pantry (Praise the Living God Holiness Church)
227,19140
228,"""tel:+1-215-847-0965"""
229,"""Praise the Living God Holiness Church extends a helping hand to individuals and families who are in need of food assistance.This program provides:- Food to meet basic nutritional needs"""
230,"""Monday from 17:30 to 18:30"""
231,Second Helping Emergency Food Cupboard (Bebashi)
232,39.962199
233,39.9621806
234,EmergencyFood
235,"""19108"""
236,"""https://www.twitter.com/@bebashi"""
237,"""https://www.facebook.com/bebashi"""
238,"""Second Helping Emergency Food Cupboard (Bebashi)_4785885511417856"""
239,"""Second Helping Emergency Food Cupboard (Bebashi)"""
240,"""1235 Spring Garden Street, Philadelphia, PA 19123"""
241,AB-Second Helping Emergency Food Cupboard (Bebashi)
242,P-Second Helping Emergency Food Cupboard (Bebashi)
243,19108
244,"""tel:+1-215-769-3561"""
245,"""""""BebashiŐs Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity donŐt go hungry. Service provided:- Boxed and canned food- Fresh meats, fruits and vegetables- Nutrition workshops and easy-to-prepare recipesVisitors can come to the pantry once a monthInformation required to register:- Name- Last four digits of social security number- Zipcode- Monthly income- The number of people in the homeBring a pen to sign the intake form and something to hold items as you shopIf you are not a client of Bebashi you will need a referral letter from a social worker."""""""
246,"""Bebashi's Second Helping Emergency Food Pantry aims to ensure that those who are struggling with food insecurity don't go hungry. Service provided:- Boxed and canned food - Fresh meats, fruits and vegetables- Nutrition workshops and easy-to-prepare recipesVisitors can come to the pantry once a month.Information required to register: - Name - Last four digits of social security number- Zipcode- Monthly income- The number of people in the homeBring a pen to sign the intake form and something to hold items as you shop.If you are not a client of Bebashi you will need a referral letter from a social worker."""
247,"""Thursday from 11:00 to 16:00"""
248,"""Wednesday from 11:00 to 16:00"""
249,"""Friday from 09:00 to 17:00"""
250,"""Tuesday from 09:00 to 17:00"""
251,"""Friday from 11:00 to 16:00"""
252,"""Thursday from 09:00 to 17:00"""
253,"""Wednesday from 09:00 to 17:00"""
254,"""Monday from 09:00 to 17:00"""
255,"""Tuesday from 11:00 to 16:00"""
256,"""Monday from 11:00 to 16:00"""
257,"""HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.\\nNo referral is needed.\\nThis program helps people with income at or below 150% of federal poverty guidelines."""
258,"""HIV positive consumers need to bring their Ryan White Services Eligibility Card when visiting the food cupboard.', 'No referral is needed.', 'This program helps people with income at or below 150% of federal poverty guidelines."""
259,Food Pantry (Enon Tabernacle Baptist Church)
260,40.028436
261,40.0769823
262,"""19150"""
263,"""https://www.facebook.com/enontab"""
264,"""https://www.twitter.com/@EnonTab"""
265,"""Food Pantry (Enon Tabernacle Baptist Church)_6307063804985344"""
266,"""Food Pantry (Enon Tabernacle Baptist Church)"""
267,"""2800 West Cheltenham Avenue, Philadelphia, PA 19150"""
268,"""226 West Coulter Street, Philadelphia, PA 19144"""
269,AB-Food Pantry (Enon Tabernacle Baptist Church)
270,P-Food Pantry (Enon Tabernacle Baptist Church)
271,19150
272,"""tel:+1-215-276-7200"""
273,"""Enon Tabernacle Baptist Church offers a Food Pantry for those in need. Clients may visit once a month.This program provides: - Food to meet basic nutritional needsPlease call to schedule a pick-up or if you have any questions about the service."""
274,"""Monday from 10:00 to 12:00"""
275,"""Tuesday from 10:00 to 12:00"""
276,"""Wednesday from 10:00 to 12:00"""
277,"""Thursday from 10:00 to 12:00"""
278,Food Pantries (Catholic Social Services - Philadelphia)
279,40.0187686
280,39.925611
281,DiapersAndFormula
282,"""19142"""
283,"""https://www.facebook.com/cssphiladelphia"""
284,"""https://www.twitter.com/@CSSPhiladelphia"""
285,"""Food Pantries (Catholic Social Services - Philadelphia)_4567796139294720"""
286,"""Food Pantries (Catholic Social Services - Philadelphia)"""
287,"""4400 North Reese Street, Philadelphia, PA 19140"""
288,"""6214 Grays Avenue, Philadelphia, PA 19142"""
289,AB-Food Pantries (Catholic Social Services - Philadelphia)
290,P-Food Pantries (Catholic Social Services - Philadelphia)
291,19142
292,"""tel:+1-267-331-2500"""
293,"""tel:+1-215-724-8550"""
294,"""Catholic Social Services' Food Pantries provide quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
295,"""Thursday from 08:30 to 16:30"""
296,"""Wednesday from 08:30 to 16:30"""
297,"""Tuesday from 08:30 to 16:30"""
298,"""Friday from 08:30 to 16:30"""
299,"""Monday from 08:30 to 16:30"""
300,"""This program serves anyone in need."""
301,Food Cupboard (The Church of the Redeemer Baptist)
302,39.9340607
303,"""Food Cupboard (The Church of the Redeemer Baptist)_6476535566696448"""
304,"""Food Cupboard (The Church of the Redeemer Baptist)"""
305,"""1440 South 24th Street, Philadelphia, PA 19146"""
306,AB-Food Cupboard (The Church of the Redeemer Baptist)
307,P-Food Cupboard (The Church of the Redeemer Baptist)
308,"""tel:+1-215-465-1230"""
309,"""The purpose of the ministry is to respond to the need of the community by providing food and other assistance for those who are less fortunate than others.This program provides:- Food to meet basic nutritional needs"""
310,"""Saturday from 07:30 to 09:30"""
311,Food Distribution (Mighty Writers)
312,39.9368864
313,39.9760487
314,PersonalCareItems
315,Books
316,"""19121"""
317,"""19147"""
318,"""https://www.twitter.com/@MightyWriters"""
319,"""https://www.facebook.com/MightyWriters/"""
320,"""Food Distribution (Mighty Writers)_5579956938342400"""
321,"""Food Distribution (Mighty Writers)_6538010800422912"""
322,"""Food Distribution (Mighty Writers)"""
323,"""This program covers residents of the following cities: Atlantic City, NJ, Camden, NJ, Philadelphia, PA and Toughkenamon, PA."""
324,"""2300 Master Street, Philadelphia, PA 19121"""
325,"""1025 South 9th Street, Philadelphia, PA 19147"""
326,AB-Food Distribution (Mighty Writers)
327,P-Food Distribution (Mighty Writers)
328,19121
329,19147
330,"""tel:+1-267-239-0899"""
331,"""Mighty Writers' response to the coronavirus, Mighty Writers will bolster and expand the recently launched food-literacy distribution. Each meal box will come with writing worksheets for kids in both English and Spanish. In addition, novels and children's books will be distributed weekly.This program provides:- Food to meet nutritional needs- Books"""
332,"""Thursday from 11:30 to 13:00"""
333,"""Wednesday from 11:30 to 13:00"""
334,"""Friday from 12:00 to 13:30"""
335,"""Wednesday from 12:00 to 13:30"""
336,"""Monday from 12:00 to 13:30"""
337,"""Tuesday from 11:30 to 13:00"""
338,"""Thursday from 12:00 to 13:30"""
339,"""Friday from 11:30 to 13:00"""
340,"""Tuesday from 12:00 to 13:30"""
341,Food Pantry (Community of Compassion CDC)
342,39.9526461
343,39.9527118
344,"""https://www.facebook.com/communityofcompassioncdc"""
345,"""https://twitter.com/community_cdc"""
346,"""Food Pantry (Community of Compassion CDC)_6260879273361408"""
347,"""Food Pantry (Community of Compassion CDC)"""
348,"""6150 Cedar Avenue, Philadelphia, PA 19143"""
349,AB-Food Pantry (Community of Compassion CDC)
350,P-Food Pantry (Community of Compassion CDC)
351,"""tel:+1-267-767-1216"""
352,"""The Community of Compassion CDC Food Pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needs"""
353,"""Wednesday from 08:00 to 11:00"""
354,"""Monday from 08:00 to 11:00"""
355,Food Pantry (Mizpah Seventh Day Adventist Church)
356,40.0116705
357,"""19124"""
358,"""https://www.facebook.com/mizpahsda.16503/"""
359,"""Food Pantry (Mizpah Seventh Day Adventist Church)_5440525052936192"""
360,"""Food Pantry (Mizpah Seventh Day Adventist Church)"""
361,"""4355 Paul Street, Philadelphia, PA 19124"""
362,AB-Food Pantry (Mizpah Seventh Day Adventist Church)
363,P-Food Pantry (Mizpah Seventh Day Adventist Church)
364,19124
365,"""tel:+1-215-535-5995"""
366,"""Mizpah Seventh Day Adventist Church helps alleviate hunger in our community in an environment of respect, care and hospitality.Service:- Foods to meet basic nutritional needsClients may visit our food pantry 1 time a week. Please call for any updated information. We give out clothing to those in need men, women and children all are welcome."""
367,"""Tuesday from 10:00 to 12:30"""
368,"""Thursday from 10:00 to 12:30"""
369,Fresh Produce (Sanctuary Farm)
370,39.9801781
371,"""https://www.facebook.com/SanctuaryFarmPhila/"""
372,"""Fresh Produce (Sanctuary Farm)_5307426591604736"""
373,"""Fresh Produce (Sanctuary Farm)"""
374,"""1622 North 22nd Street, Philadelphia, PA 19121"""
375,AB-Fresh Produce (Sanctuary Farm)
376,P-Fresh Produce (Sanctuary Farm)
377,"""tel:+1-267-703-0194"""
378,"""Sanctuary Farm provides free organic vegetables and produce to community members. This program provides:- Free produce The farm stand is open on Tuesdays and Thursdays at 1622 North 22nd St. and Saturdays at 2337 West Berks St."""
379,"""Tuesday from 09:00 to 12:00"""
380,"""Thursday from 09:00 to 12:00"""
381,"Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)"
382,39.9948466
383,"""19132"""
384,"""Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)_5148792120410112"""
385,"""Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)"""
386,"""1701 West Lehigh Avenue, Philadelphia, PA 19132"""
387,"AB-Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)"
388,"P-Grocery, Clothing, and Book Give A Way (Ujima Friends Peace Center)"
389,19132
390,"""tel:+1-267-761-4944"""
391,"""Ujima Friends Peace Center hosts a give-away event twice a month to provide free groceries, clothing, and books to the community.This program provides:- Groceries- Clothing- BooksThe program is held on the second and last Saturdays of each month. Tables will be set up to distribute items in the Peace Center parking lot and on the sidewalk."""
392,"""Saturday from 12:00 to 14:00"""
393,Food Pantry (New Testament Church of God - Community Outreach Mission)
394,39.9456921
395,SuppliesForSchool
396,"""Food Pantry (New Testament Church of God - Community Outreach Mission)_6265791971065856"""
397,"""Food Pantry (New Testament Church of God - Community Outreach Mission)"""
398,"""This program covers residents of the following counties: Delaware County, PA and Philadelphia County, PA."""
399,"""935 South 53rd Street, Philadelphia, PA 19143"""
400,AB-Food Pantry (New Testament Church of God - Community Outreach Mission)
401,P-Food Pantry (New Testament Church of God - Community Outreach Mission)
402,"""tel:+1-215-472-6630"""
403,"""The Community Outreach Mission provides basic items to families with children from our surrounding areas. Some of our focus areas are senior citizens, pregnant mothers, school age children, youths, individuals with disabilities, and underprivileged families as a whole.This program provides:- Food to meet basic nutritional needs - School supplies- Clothing- Toiletries- Additional services as neededThe food pantry is open every Saturday at 12pm and on Sundays post-service."""
404,"""Sunday from 12:00 to 14:00"""
405,Food Distribution (The Greater Philadelphia Community Alliance)
406,39.923234
407,Spanish
408,Vietnamese
409,AmericanSignLanguage
410,Khmer
411,"""19148"""
412,"""https://www.twitter.com/@UCPhilly"""
413,"""https://www.facebook.com/UCSEP"""
414,"""Food Distribution (The Greater Philadelphia Community Alliance)_5802794918608896"""
415,"""Food Distribution (The Greater Philadelphia Community Alliance)"""
416,"""2029 South 8th Street, Philadelphia, PA 19148"""
417,AB-Food Distribution (The Greater Philadelphia Community Alliance)
418,P-Food Distribution (The Greater Philadelphia Community Alliance)
419,19148
420,"""tel:+1-215-468-1645"""
421,"""""""We are currently signing up seniors who are 60 years+ for FREE SENIOR FOOD BOXES from our Houston Center location - 2029 S 8th St. Please reach out to us to sign up!Houston Center2029 S 8th St215-468-1645SOUTH PHILLY FOOD DISTRIBUTION SITESSEAMAAC - 1711 S Broad St - Mondays and Tuesdays 10-2pm - 215-467-0690South Philadelphia High School - 2101 Broad St - Fridays 2-3:30pm - 215-847 -5154Church of Pentecost - 2530 Wharton St - Wednesdays through Fridays 11am-2pm - 215-372-7307Young Chances Foundation - 2703 Tasker St - Thursdays 11am-4pm - 267-585-2923Mighty Writers El Futuro - 1025 S 9th St - Mondays through Fridays 11:30am-1pm - 215-602-0236Macaroni Older Adult Program (60 or older must reserve ahead) - 2433 S 15th St - 215-765-9040South Philly Older Adult Center (55 or older, no reservation necessary) - 1430 E Passyunk Ave - 215-685-1697Philadelphia Senior Center Avenue of the Arts - 509 S Broad St (60 or older) - 509 S Broad St - 215-546-5879St Edmonds Senior Community Center (60 or older) - 2130 S 21st St - 215-790-9530"""""""
422,"""Friday from 08:30 to 18:00"""
423,"""Thursday from 08:30 to 18:00"""
424,"""Tuesday from 08:30 to 18:00"""
425,"""Wednesday from 08:30 to 18:00"""
426,"""Monday from 08:30 to 18:00"""
427,"""Follow the Next Steps to find out if this program has eligibility criteria."""
428,Food Pantry (Mission of St. Joan of Arc)
429,39.9979138
430,"""https://www.facebook.com/HolyInnocentsParish"""
431,"""Food Pantry (Mission of St. Joan of Arc)_6017524549025792"""
432,"""Food Pantry (Mission of St. Joan of Arc)"""
433,"""2025 East Atlantic Street, Philadelphia, PA 19134"""
434,AB-Food Pantry (Mission of St. Joan of Arc)
435,P-Food Pantry (Mission of St. Joan of Arc)
436,"""tel:+1-215-535-4641"""
437,Hunger Programs - Senior Citizen Boxes (Feast of Justice)
438,40.0372113
439,"""19149"""
440,"""https://www.facebook.com/FeastOfJusticePhiladelphia/?view_public_for=170475529821804"""
441,"""Hunger Programs - Senior Citizen Boxes (Feast of Justice)_4899393198620672"""
442,"""Hunger Programs - Senior Citizen Boxes (Feast of Justice)"""
443,"""This program covers residents of the following counties: Bucks County, PA, Chester County, PA, Delaware County, PA, Montgomery County, PA and Philadelphia County, PA."""
444,"""3101 Tyson Avenue, Philadelphia, PA 19149"""
445,AB-Hunger Programs - Senior Citizen Boxes (Feast of Justice)
446,P-Hunger Programs - Senior Citizen Boxes (Feast of Justice)
447,19149
448,"""tel:+1-215-268-3510"""
449,"""Senior Citizen Boxes program offers plentiful programs to combat hunger in the community.This program provides:- A community cupboard, which provides families with emergency, supplemental food every month.Once you apply, it takes 1 to 2 months for your name to appear on the list."""
450,"""Wednesday from 10:00 to 19:00"""
451,"""Friday from 10:00 to 16:00"""
452,"""This program serves individuals living in one of these zip codes: 19111, 19114, 19115, 19116, 19124, 19135, 19136, 19149, 19152, 19154"""
453,Food Pantry (Oxford Circle Christian Community Development Association)
454,40.040975
455,Chinese
456,"""https://www.facebook.com/occcda/"""
457,"""Food Pantry (Oxford Circle Christian Community Development Association)_4675788288688128"""
458,"""Food Pantry (Oxford Circle Christian Community Development Association)"""
459,"""6500 Castor Avenue, Philadelphia, PA 19149"""
460,AB-Food Pantry (Oxford Circle Christian Community Development Association)
461,P-Food Pantry (Oxford Circle Christian Community Development Association)
462,"""tel:+1-215-288-8504"""
463,"""tel:+1-215-831-6502"""
464,"""The Oxford Circle Christian Community Development Association's food pantry provides quality food items to households experiencing food insecurity. This program supplies critical nutrition to hungry individuals and families. This program provides:- Food to meet basic nutritional needsFood pantry times and dates vary per both locations, please call them for more information."""
465,"""Thursday from 10:00 to 14:00"""
466,Helping Hands For The Hungry (St. Cyprian Church)
467,39.9539798
468,"""https://www.facebook.com/StCyprianPhilly/"""
469,"""https://www.twitter.com/@StCyprianPhilly"""
470,"""Helping Hands For The Hungry (St. Cyprian Church)_5375543808360448"""
471,"""Helping Hands For The Hungry (St. Cyprian Church)"""
472,"""525 Cobbs Creek Parkway, Philadelphia, PA 19143"""
473,AB-Helping Hands For The Hungry (St. Cyprian Church)
474,P-Helping Hands For The Hungry (St. Cyprian Church)
475,"""tel:+1-215-747-3250"""
476,"""Helping Hands for the Hungry is a ministry that serves the needy on the last Saturday of each month. Our volunteers provide a delicious hot meal, food bags, clothing, but most importantly prayer and Godâ€™s Word.This program provides:- Meals- Food pantry- Clothing"""
477,"""Wednesday from 09:30 to 11:15"""
478,"""Monday from 09:30 to 11:15"""
479,Saint Helena Parish Food Cupboard (Saint Helena)
480,40.0453383
481,"""19120"""
482,"""https://www.facebook.com/sainthelenaparish"""
483,"""Saint Helena Parish Food Cupboard (Saint Helena)_5017006984921088"""
484,"""Saint Helena Parish Food Cupboard (Saint Helena)"""
