Service_name,Service_url,Main_Services,Other_Services,Serving,Phone_Number,Website,Location_Address,Location_URL_Map,Eligibility,Availability,Description,Languages,Cost,Google_Review,Facebook_URL,Twitter_URL,Coverage,Latitude,Longitude,Zipcode,24hour,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Google_Rating,Service
Child and Family Behavioral Health Services Outpatient (University of Pennsylvania Perelman School of Medicine),https://www.auntbertha.com//university-of-pennsylvania-perelman-school-of-medicine--philadelphia-pa--child-and-family-behavioral-health-services-outpatient/6344585237495808?postal=19104,"['checkup & test', 'disability screening', 'mental health evaluation', 'mental health care', 'counseling']",,"['teens', 'children', 'autism', 'families', 'benefit recipients', 'low-income', 'uninsured']",215-829-7271,https://www.med.upenn.edu/hallmercer/clinical_family.html,"245 South 8th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=245+South+8th+Street,+Philadelphia,+PA+19107/","['This program helps people who are 3 to 18 years old.', 'Must be resident of Philadelphia']",available,"Child and Family Outpatient Services provide mental health evaluations and treatment to children and adolescents ages 3-18 and their families, who are residents of Philadelphia.Services available:- Mental health evaluation- Behavioral health treatmentReferrals are received from area public, parochial and private schools, social service agencies, pediatricians, health centers, managed care organizations (primarily Community Behavioral Health), police, courts, and residents.Hall-Mercer Community Behavioral Health Center offers Mental Health services for those clients who are eligible for Medical Assistance in Philadelphia County. Fee for Service Medicare is also accepted for those who live in Hall Mercer's catchment area. Self-pay on a sliding-scale is also an option for receiving services.","['English', 'Spanish']",Sliding Scale,TRUE,https://www.facebook.com/MFCPenn/,https://www.twitter.com/https://twitter.com/MFCPenn,"This program covers residents of the following cities: Philadelphia, PA.",39.9465396,-75.1544013,19107,FALSE,8:30AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,2.1,Mental Health
Child Outpatient Behavioral Health Services (Merakey - Pennsylvania),https://www.auntbertha.com//merakey---pennsylvania--philadelphia-pa--child-outpatient-behavioral-health-services/5173233465950208?postal=19111,"['psychiatric emergency services', 'outpatient treatment', 'counseling', 'specialized therapy', 'mental health care', 'group therapy']",,"['young adults', 'teens', 'children', 'families', 'with children', 'benefit recipients', 'parents', 'all mental health']",570-218-8210,https://www.merakey.org/services/children-and-family,"265 East Lehigh Avenue, Philadelphia, PA 19125","https://www.google.com/maps/?q=265+East+Lehigh+Avenue,+Philadelphia,+PA+19125/",['This program helps people who are younger than 22 years old.'],available,"Merakey's MCRSS program is designed to help those in crisis work through the crisis and maintain their mental health in our 8 week stabilization program. This program is open to clients ages 5-21 experiencing mental health issues. If you are in crisis, please contact 570-224-9002 for immediate response. If you are inquiring about stabilization services, please contact the number listed for the main office.",['English'],Reduced Cost,TRUE,https://www.facebook.com/MerakeyOrg/,,This program covers residents of the following states: PA.,39.9907137,-75.1272193,19125,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4,Mental Health
Children & Youth Outpatient Services (Northeast Community Center for Behavioral Health),https://www.auntbertha.com//northeast-community-center-for-behavioral-health-%2528neccbh%2529--philadelphia-pa--children-%2526-youth-outpatient-services/5356872163655680?postal=19104,"['mental health care', 'group therapy', 'family counseling', 'individual counseling', 'medications for mental health', 'mental health evaluation', 'outpatient treatment', 'psychiatric emergency services']",,"['teens', 'children', 'families', 'benefit recipients', 'low-income', 'uninsured', 'all mental health']",215-831-2800,https://www.neccbh.org/children-youth-outpatient-services/,"Roosevelt Blvd. & Adams Ave., Philadelphia, PA 19124","https://www.google.com/maps/place/Roosevelt+Blvd+%26+Adams+Ave,+Philadelphia,+PA+19124/@40.0268551,-75.0999843,731m/data=!3m2!1e3!4b1!4m6!3m5!1s0x89c6b65747a9c9df:0x5a539239a8ef86b3!8m2!3d40.0268551!4d-75.0974094!16s%2Fg%2F11f32p9rg7?entry=ttu&g_ep=EgoyMDI1MDMzMC4wIKXMDSoASAFQAw%3D%3D","['This program helps people who are 3 to 18 years old.', 'Must reside in Philadelphia.', 'Must have Medicare or Medicaid, or be an uninsured person living in our service area.']",available,"NECCBH provides on-site behavioral health services to children and adolescents age 3 to 18 years old who are experiencing mental health or behavioral difficulties. We provide youth and their families with individualized services that promote recovery, resilience and wellness. Services include: - Individual therapy - Family therapy - Group therapy- Psychiatric evaluation- Medication consultation and medication management - Crisis management and intervention services - Inter-agency treatment team meetings Confidential treatment services are provided to assist children and youth with resolving conflicts and overcoming challenges within their home, school and community environments. An emphasis is placed upon person centered and strength based interventions, which help develop new skills and foster resiliency. Staff members will work with each child and family to develop a family centered plan to identify and achieve their personal recovery goals.NECCBH accepts Medicare and Medicaid. An uninsured person who lives in our service area may receive services. The cost for service is based on solely on an individual's ability to pay when not covered by insurance.",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following cities: Philadelphia, PA.",40.0268551,-75.0999843,19124,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 6:00PM,Closed,Closed,3.8,Mental Health
Children and Adolescent Behavioral Health Rehabilitation Services (WES Health System),https://www.auntbertha.com//wes-health-system--philadelphia-pa--children-and-adolescent-behavioral-health-rehabilitation-services/5026565672140800?postal=19131,"['mental health evaluation', 'mental health care']","['navigating the system', 'support network', 'one-on-one support']","['teens', 'children', 'benefit recipients', 'all mental health']",215-456-2626,http://drwes.org/individuals-families/behavioral-health-rehabilitation-services/,"2514 North Broad Street, Philadelphia, PA 19132","https://www.google.com/maps/?q=2514+North+Broad+Street,+Philadelphia,+PA+19132/","['This program helps people who are 5 to 21 years old.', 'Must go through an evaluation by a psychologist and approved by Community Behavioral Health before obtaining services.']",available,"Behavioral Health Rehabilitation Services, also known as Wraparound, are services for children and adolescents who may be experiencing mental and behavioral health challenges in their daily lives. Wraparound services are a shift from traditional mental health services provided in a therapist’s office, to services where the child normally is, in the home, school, or community. This program provides:- Wraparound services - building constructive relationships and support networks- ReferralMedicaid and Medicare accepted. Private pay available.  Obtaining BHRS services first requires an evaluation by a psychologist. The request is then submitted to CBH (Community Behavioral Health) for an approval. Given the child’s diagnosis, services can be approved for 6 months – 1 year, at a time.","['English', 'Vietnamese']",Reduced Cost,TRUE,https://www.facebook.com/weshealthsystems,https://www.twitter.com/@WESHealthSystem,"This program covers residents of the following cities: Philadelphia, PA.",39.9915494,-75.155541,19132,FALSE,8:45 AM - 5:00PM,8:45 AM - 5:00PM,8:45 AM - 5:00PM,8:45 AM - 5:00PM,8:45 AM - 5:00PM,Closed,Closed,2.7,Mental Health
"Children's Behavioral Health Outpatient Program (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--children%2527s-behavioral-health-outpatient-program/5918707198197760?postal=19131,"['group therapy', 'family counseling', 'individual counseling']",,"['teens', 'children', 'benefit recipients', 'low-income', 'uninsured', 'underinsured', 'all mental health']",267-233-5391,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['This program helps people who are 5 to 18 years old.', 'Must meet income requirements or have Medicaid.']",available,"The Children’s Outpatient program serves children aged five to 18. Children receive individual and group therapy at the level of care most appropriate to meet their needs. Family therapy is also provided, as needed. Enhanced services for children include:- Summer treatment program- Students are Nurtured to Achieve and make Progress (SNAP)- Parents Engagement Program (PEP)- Specialty groups including Anger Management, Bullying Prevention, Girls Empowerment, Boys Empowerment, Mentoring and Sexuality AcceptanceThe Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.239429,19153,FALSE,8:00AM - 7:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 8:00PM,8:00AM - 7:00PM,10:00AM - 2:00PM,Closed,0,Mental Health
"Children's Blended Case Management (The Consortium, Inc.)",https://www.auntbertha.com//the-consortium%252C-inc.--philadelphia-pa--children%2527s-blended-case-management/4980312141725696?postal=19131,"['mental health care', 'navigating the system', 'one-on-one support']",,"['teens', 'children', 'intellectual disability', 'benefit recipients', 'low-income', 'all mental health']",215-596-7100,https://consortiuminc.org/,"2821 Island Avenue, Philadelphia, PA 19153","https://www.google.com/maps/?q=2821+Island+Avenue,+Philadelphia,+PA+19153/","['This program helps people who are 6 to 17 years old.', 'Behavioral or mental health diagnosis.', 'Must meet income requirements or have Medicaid.', 'Will serve 21 year old if they are enrolled in school.', 'Must have a referral.']",available,"The Children’s Blended Case Management Unit provides assistance for children 6 to 17 years of age (21 years if still enrolled in school) with a behavioral or mental health diagnosis, or intellectual disability in the community or residential treatment facility setting with low, moderate, and severe needs.Services include:- 24 hour-a-day, 7 day-a-week crisis responseThe program’s goals are to connect children to services and resources which will help with their recovery and improvement, collaborate with service providers to monitor consumer participation and satisfaction, help coordinate existing services, and to advocate and provide additional support for the child. The Consortium accepts Medicaid and offers a sliding scale fee for low-income individuals. We don't turn anyone away.",['English'],Sliding Scale,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.906809,-75.239429,19153,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0,Mental Health
Children's Mental Health Crisis Services (Philadelphia Children's Crisis Response Center),https://www.auntbertha.com//philadelphia-childrens-crisis-response-center-%2528pccrc%2529--philadelphia-pa--children%2527s-mental-health-crisis-services/5405395361988608?postal=19104,"['residential treatment', 'counseling', 'mental health care', 'group therapy', 'family counseling', 'individual counseling', 'mental health evaluation', 'psychiatric emergency services']",,"['young adults', 'teens', 'school-aged children', 'families', 'with children', 'benefit recipients', 'in crisis', 'all mental health']",877-203-2491,https://www.philachildrenscrc.com/about/,"3300 Henry Avenue, Philadelphia, PA 19129","https://www.google.com/maps/?q=3300+Henry+Avenue,+Philadelphia,+PA+19129/","['This program helps people who are 3 to 17 years old.', 'Must be a member of Community Behavioral Health.']",available,"Philadelphia Children’s Crisis Response Center provides the on-site Crisis Stabilization Unit (CSU) as an option for children and young adults experiencing extreme distress who can benefit from an intensive, short-term, coordinated treatment experience. This program provides:- Mental health assessmentDepending upon the results of this assessment, we may recommend the following services:- Therapeutic stabilization- Admission into our on-site Crisis Stabilization Unit (CSU) - Referral to appropriate level of care - Crisis/aftercare planning Typical length of stay is three to five days. If you are members of Community Behavioral Health (Philadelphia’s Medicaid behavioral health program), then treatment is provided at no cost to the patient.",['English'],Free,TRUE,https://www.facebook.com/philachildrenscrc,,"This program covers residents of the following counties: Philadelphia County, PA and Montgomery County, PA.",40.012558,-75.1838355,19129,TRUE,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,0:00AM - 11:59PM,1.6,Mental Health
"Children's Outpatient Evaluation and Counseling (COMHAR, Inc.)",https://www.auntbertha.com//comhar%252C-inc.--philadelphia-pa--children%2527s-outpatient-evaluation-and-counseling/5046548787101696?postal=19131,"['understand mental health', 'specialized therapy', 'medication management', 'mental health care', 'medications for mental health', 'mental health evaluation']",,"['teens', 'children', 'families', 'with children', 'caregivers', 'parents', 'all mental health']",267-861-4382,https://www.comhar.org/children-and-families,"2600 N. American Street, Philadelphia, PA 19133","https://www.google.com/maps/?q=2600+N.+American+Street,+Philadelphia,+PA+19133/","['Free for individuals who are uninsured.', 'Must have Medicaid.']",available,"COMHAR offers outpatient evaluation and counseling for youth beginning at age 5. Services are all focused on building familial strength and community support.  Services are available both for children with existing behavioral health diagnoses and for those whose families want them to be assessed.

This program provides:

- Psychiatric evaluation
- Medication management
- Family therapy
- Individual and group therapy 

COMHAR accepts Medicaid.","['English', 'Spanish']",Reduced Cost,TRUE,,,"This program covers residents of the following counties: Bucks County, PA, Burlington County, PA, Camden County, PA, Cecil County, PA, Chester County, PA, Delaware County, PA, Gloucester County, PA, Montgomery County, PA, New Castle County, PA, Philadelphia County, PA and Salem County, PA.",39.990206,-75.136872,19133,FALSE,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,8:00AM - 9:00PM,9:00AM - 5:00PM,Closed,2.3,Mental Health
Children's Outpatient Services (Community Council Health Systens),https://www.auntbertha.com//community-council-health-systems--philadelphia-pa--children%2527s-outpatient-services-%2528cos%2529/5117647412002816?postal=19131,"['outpatient treatment', 'mental health evaluation', 'counseling', 'family counseling', 'individual counseling', 'medications for mental health']",,"['teens', 'children', 'families', 'benefit recipients']",215-473-7033,http://cchss.org,"4900 Wyalusing Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=4900+Wyalusing+Avenue,+Philadelphia,+PA+19131/",['This program helps people who are younger than 18 years old.'],available,"The Children's Outpatient Service (COS) Program is housed in the Hutchins Pavilion on the main campus. The primary focus of the program is to help each consumer have a better understanding of self and value who they are as well as to help them create positive coping skills.COS Services: - Psychiatric and psychological evaluation services- Medication management- Individual, group, and family therapy","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/CCHSS/,https://www.twitter.com/@cchs_pa,"This program covers residents of the following counties: Philadelphia County, PA.",39.9697728,-75.218871,19131,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,3.7,Mental Health
Children's Outpatient Services COS (Community Council Health Systems),https://www.auntbertha.com//community-council-health-systems--philadelphia-pa--children%2527s-outpatient-services-%2528cos%2529/5117647412002816?postal=19111,"['outpatient treatment', 'mental health evaluation', 'counseling', 'family counseling', 'individual counseling', 'medications for mental health']",,"['teens', 'children', 'families', 'benefit recipients']",215-473-7033,http://cchss.org,"4900 Wyalusing Avenue, Philadelphia, PA 19131","https://www.google.com/maps/?q=4900+Wyalusing+Avenue,+Philadelphia,+PA+19131/",['This program helps people who are younger than 18 years old.'],available,"The Children's Outpatient Service (COS) Program is housed in the Hutchins Pavilion on the main campus. The primary focus of the program is to help each consumer have a better understanding of self and value who they are as well as to help them create positive coping skills.COS Services: - Psychiatric and psychological evaluation services- Medication management- Individual, group, and family therapy","['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/CCHSS/,https://www.twitter.com/@cchs_pa,"This program covers residents of the following counties: Philadelphia County, PA.",39.9697728,-75.2188713,19131,FALSE,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,3.7,Mental Health
Chinese Immigrant Families Wellness Initiative CIFWI (Philadelphia Chinatown Development Corporation),https://www.auntbertha.com//philadelphia-chinatown-development-corporation-%2528pcdc%2529--philadelphia-pa--chinese-immigrant-families-wellness-initiative-%2528cifwi%2529/4815418956054528?postal=19111,"['mental health care', 'navigating the system']",,"['all ages', 'immigrants', 'families', 'asian']",215-922-6156,https://no1credit.com/genkinka/,"301 North 9th Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=301+North+9th+Street,+Philadelphia,+PA+19107/",['This program serves Chinese immigrant families.'],available,"CIFWI introduces mental and emotional health as a key component of health and community development. CIFWI builds the capacity to address local community needs, increases awareness of access to resources, and works with organizational and individual partners to meet people’s mental health needs where they are at.This program provides:- Access to wellness resources","['Chinese', 'English']",Free,TRUE,https://www.facebook.com/phillychinatown/,,"This program covers residents of the following cities: Philadelphia, PA.",39.95722,-75.153647,19107,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.5,Mental Health
"Chronic Disease Management (Greater Philadelphia Health Action, Inc.)",https://www.auntbertha.com//greater-philadelphia-health-action%252C-inc.-%2528gpha%2529--philadelphia-pa--chronic-disease-management/4548750494924800?postal=19131,"['disease management', 'medical care', 'checkup & test', 'disease screening', 'prevent & treat', 'counseling', 'std/sti treatment & prevention', 'hiv treatment']",,"['all ages', 'all care phases', 'infectious disease', 'hiv/aids', 'chronic illness', 'diabetes', 'benefit recipients', 'low-income', 'uninsured', 'underinsured']",888-296-4742,https://www.gphainc.org/services/medical/services-medical/specialty/chronic-disease-management/,"5000 Woodland Avenue, Philadelphia, PA 19143","https://www.google.com/maps/?q=5000+Woodland+Avenue,+Philadelphia,+PA+19143/",[],available,"GPHA provides complete diagnostic and management services for all chronic diseases. Their specialists believe that patients living with chronic disease deserve the finest healthcare available.This program provides confidential and comprehensive services including:- Confidential testing- Long-term primary medical care- Mental health counseling- The latest therapeutics and treatments- Thorough medical evaluations- Access to infectious disease specialists and a network of support They offer complete care for chronic diseases such as:- Arthritic conditions- Asthma- Chronic obstructive pulmonary disease (COPD)- Diabetes- Heart disease- HIV and AIDS- Kidney disease- Viral hepatitis (hepatitis B and C)GPHA accepts Medicare and Medicaid, and offers a sliding fee scale based on income to uninsured patients. GPHA seeks to meet the needs of a diverse population, regardless of their ability to pay.","['Chinese', 'English', 'Spanish']",Sliding Scale,TRUE,https://www.facebook.com/Greater-Philadelphia-Health-Action-Inc-1343315085728047/,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9396061,-75.213949,19143,FALSE,8:30AM - 8:00PM,8:30AM - 8:00PM,8:30AM - 8:00PM,8:30AM - 8:00PM,8:30AM - 5:00PM,8:30AM - 3:00PM,Closed,0,Mental Health
Clinica Bienestar (The Institute for Community Justice),https://www.auntbertha.com//the-institute-for-community-justice--philadelphia-pa--clinica-bienestar/5989492794851328?postal=19111,"['health education', 'disease management', 'medical care', 'checkup & test', 'disease screening', 'prevent & treat', 'counseling', 'hiv treatment', 'case management']",,"['adults 18+', 'infectious disease', 'hiv/aids', 'limited english']",267-436-3125,https://fight.org/programs/clinica-bienestar/,"1233 Locust Street, Philadelphia, PA 19107","https://www.google.com/maps/?q=2913+Kensington+Avenue,+Philadelphia,+PA+19134/",[],temporarily closed,Clinica Bienestar is a Spanish-speaking comprehensive HIV primary care clinic. Clinica Bienestar staff are especially skilled in providing medical and social services to individuals who are actively using or have a history of using injection drugs and have received inconsistent HIV medical care.Services provided:- HIV primary care- Hepatitis C treatment - HIV PrEP- Wound care- Medical case management- Medication-assisted treatment- Harm reduction servicesAll patients are served regardless of their ability to pay. We accept both Medicaid and Medicare.,"['English', 'Spanish']",Reduced Cost,TRUE,https://www.facebook.com/pages/Philadelphia-FIGHT/80411861715,https://www.twitter.com/@PhillyFIGHT,"This program covers residents of the following counties: Philadelphia County, PA.",39.9927048,-75.1196476,19134,FALSE,Closed,1:00PM - 5:00PM,9:00AM - 5:00PM,Closed,Closed,Closed,Closed,4.4,Mental Health
Clinical Services (Cohen Veteran's Network),https://www.auntbertha.com//cohen-veteran%2527s-network--philadelphia-pa--clinical-services/6569331327631360?postal=19104,"['counseling', 'mental health care', 'individual counseling']","['help find housing', 'financial assistance', 'navigating the system', 'support network']","['adults', 'young adults', 'teens', 'children', 'seniors', 'active duty', 'veterans', 'all disabilities', 'individuals', 'spouses', 'dependents']",844-336-4226,https://www.cohenveteransnetwork.org/at-a-glance/,"3535 Market Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=3535+Market+Street,+Philadelphia,+PA+19104/","['This program serves veterans, active duty and their families. This program also support post-911 veterans and families.']",available,"The Cohen's Veteran's Network provides clinical services to veterans, active duty military, and their families. This program provides high-quality, accessible and integrated mental health care.This program provides:- Evidence based therapy services This program also provides support and referrals for related needs including unemployment, housing, finance and education. They also offer in-home services, telehealth and childcare are offered on a clinic-by-clinic basis. Please check the nearest clinic for more information on provided services.","['English', 'Spanish']",Free,TRUE,https://www.facebook.com/cohenveteransnetwork/,https://www.twitter.com/@CohenVeterans,"This program covers residents of the following cities: Anchorage, AK, Fairbanks, AK, Los Angeles, CA, Oceanside, CA, San Diego, CA, Colorado Springs, CO, Denver, CO, Washington, DC, Jacksonville, FL, Tampa, FL, Hinesville, GA, Honolulu, HI, Fayetteville, NC, Jacksonville, NC, New York, NY, Lawton, OK, Philadelphia, PA, Clarksville, TN, Dallas, TX, Killeen, TX, San Antonio, TX, Virginia Beach, VA and Tacoma, WA.",39.9565128,-75.1937293,19104,FALSE,8:30AM - 5:00PM,8:30AM - 7:00PM,8:30AM - 7:00PM,8:30AM - 5:00PM,8:30AM - 5:00PM,Closed,Closed,0,Mental Health
Clinical Services (University of Pennsylvania - Department of Psychiatry Penn Center for Women's Behavioral Wellness),https://www.auntbertha.com//university-of-pennsylvania---department-of-psychiatry-penn-center-for-women%2527s-behavioral-wellness--philadelphia-pa--clinical-services/6556041360965632?postal=19104,"['mental health care', 'counseling', 'family counseling', 'individual counseling', 'mental health evaluation']",,"['adults', 'young adults', 'teens', 'seniors', 'female', 'pregnant']",215-573-8886,https://www.med.upenn.edu/womenswellness/,"3535 Market Street, Philadelphia, PA 19104","https://www.google.com/maps/?q=3535+Market+Street,+Philadelphia,+PA+19104/",['Must have Medicare and/or Medicaid.'],available,"The PCWBW provides clinical consultations and evaluations regarding psychotropic medications in pregnancy and lactation, postpartum and antepartum depression and anxiety, and mood disorders specific to the menstrual cycle and menopausal transition. These evaluations can function as a one-time comprehensive consultation only, or as an ongoing resource for patients during a difficult period.Services:- Clinical consultation & evaluations- Psychotherapy- Cognitive Behavioral Therapy- Couples Therapy- PsychopharmacologyWe accept most major insurances, including Medicare and Medicaid (Philadelphia county only).",['English'],Reduced Cost,TRUE,None,None,"This program covers residents of the following counties: Philadelphia County, PA.",39.9565128,-75.1937293,19104,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,3.7,Mental Health
Community Counseling Services (Methodist Services),https://www.auntbertha.com//methodist-services--philadelphia-pa--community-counseling-services-%2528ccs%2529/5046363410661376?postal=19131,"['parenting education', 'medical care', 'counseling', 'specialized therapy', 'medication management', 'family counseling', 'individual counseling', 'navigating the system', 'support network', 'support groups']",,"['young adults', 'children', 'families']",215-877-1925,http://www.ccsbangor.org/,"4300 Monument Rd, Philadelphia, PA 19131","https://www.google.com/maps/?q=4300+Monument+Rd,+Philadelphia,+PA+19131/","['Community Counseling Services accepts Medical Assistance to cover the costs of services as well as many private insurance carriers. Please contact your insurance provider directly to determine if we are in your network.  Grant assistance and a sliding fee scale is also available to those who qualify.  For more information, please contact our office.']",available,Community Counseling Services (CCS) provides outpatient mental health treatment to Northampton County and the surrounding areas.Services provided include:- Individual and family therapy- Psychiatric medication management- Support groups- ReferralsPlease contact the intake coordinator to learn more about services and to begin the process of receiving services. An informational intake packet is available on the website. Grant assistance and a sliding fee scale is also available to those who qualify.During Covid: All counseling is done via telehealth. Currently accepting new patients.,['English'],Reduced Cost,TRUE,https://www.facebook.com/methodistservicesphiladelphia,,"This program covers residents of the following counties: Northampton County, PA and Philadelphia County, PA.",39.9978971,-75.214589,19131,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.2,Mental Health
Community Counseling Services CCS (Methodist Services),https://www.auntbertha.com//methodist-services--philadelphia-pa--community-counseling-services-%2528ccs%2529/5046363410661376?postal=19104,"['parenting education', 'medical care', 'counseling', 'specialized therapy', 'medication management', 'family counseling', 'individual counseling', 'navigating the system', 'support network', 'support groups']",,"['young adults', 'children', 'families']",610-588-9109,http://www.ccsbangor.org/,"4300 Monument Rd, Philadelphia, PA 19131","https://www.google.com/maps/?q=4300+Monument+Rd,+Philadelphia,+PA+19131/","['Community Counseling Services accepts Medical Assistance to cover the costs of services as well as many private insurance carriers. Please contact your insurance provider directly to determine if we are in your network.  Grant assistance and a sliding fee scale is also available to those who qualify.  For more information, please contact our office.']",available,Community Counseling Services (CCS) provides outpatient mental health treatment to Northampton County and the surrounding areas.Services provided include:- Individual and family therapy- Psychiatric medication management- Support groups- ReferralsPlease contact the intake coordinator to learn more about services and to begin the process of receiving services. An informational intake packet is available on the website. Grant assistance and a sliding fee scale is also available to those who qualify.During Covid: All counseling is done via telehealth. Currently accepting new patients.,['English'],Reduced Cost,TRUE,https://www.facebook.com/methodistservicesphiladelphia,,"This program covers residents of the following counties: Northampton County, PA and Philadelphia County, PA.",39.9978971,-75.2145893,19131,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,4.2,Mental Health
"Community Integrated Recovery Center (CIRC) at Packer (Citizens Acting Together Can Help, Inc.)",https://www.auntbertha.com//citizens-acting-together-can-help%252C-inc.-%2528catch%2529--philadelphia-pa--community-integrated-recovery-center-%2528circ%2529-at-packer/5687081289646080?postal=19131,"['outpatient treatment', 'mental health care', 'medications for mental health', 'mental health evaluation', 'understand mental health']",,"['adults', 'seniors', 'individuals', 'all mental health']",215-551-3150,https://catchinc.com/services/mental-health/circ-programs/,"700 Packer Avenue, Philadelphia, PA 19146","https://www.google.com/maps/?q=700+Packer+Avenue,+Philadelphia,+PA+19146/","['This program helps people who are older than 54 years old.', 'Our members must have a present, or a history of a, serious mental illness which includes the following diagnoses by a psychiatrist: schizophrenia, major mood disorder, psychotic disorder, schizoaffective disorder or borderline personality disorder. The person must also have a moderate to severe fun', 'Members must choose to participate in the program, be stable, absent of any withdrawal symptoms. The person must also be willing to come to the program.']",available,"Using clinical protocols and activities that promote the concepts of personal strengths and resiliency, these programs combine outpatient psychiatric services with community-oriented psychiatric rehabilitation services.

Members work on skills which will help them achieve a variety of goals ranging from psychiatric symptom reduction to independent living and vocational/educational placement. Our dedicated staff uses a blend of best practices, recovery models, and a person-centered approach that builds coping and socialization proficiency. Services are provided on-site and in a community-based setting. We also offer psychiatric resources in the form of psychiatric evaluations, medication consultation, and medication management.

Members work on specific issues of aging with a strong focus on health and wellness management.

Community inclusion at the Packer program begins to incorporate organizations that work with an elderly population such as PHILADELPHIA CORPORATION FOR THE AGING along with various neighborhood SENIOR CENTERS.",['English'],Reduced Cost,TRUE,,,"This program covers residents of the following counties: Philadelphia County, PA.",39.9089296,-75.162655,19146,FALSE,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,8:00AM - 5:00PM,Closed,Closed,0,Mental Health
